licence_num,facility_name,address,address2,city,province,postal_code,phone,licensee_name,services,assess_date,action_date,action_comment
,Carling Pulmonary Function Services,1081 Carling Avenue,Suite 201,Ottawa,ON,K1Y4G2,613-729-8262,Carling Pulmonary Function Services Inc. ," Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion",2024-10-25,2025-02-07,Met standards.
,Canadian Diagnostic Network,595 Montreal Road,Suite 205,Ottawa,ON,K1K4L2,613-824-3252,Canadian Diagnostic Network Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2025-02-14,2025-05-15,Met standards.
,Bio-Test Radiology Services,1929 Russell Road,Suite 102,Ottawa,ON,K1G4G3,613-737-6872,Bio-Test Laboratory Inc. , Radiography,2025-01-15,2025-06-03,Met standards.
,Canadian Diagnostic Network,1181 Hunt Club Road,Building A,Ottawa,ON,K1V8S4,613-824-3252,Can Med Equipment Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound",2025-04-28,2025-08-01,Met standards.
,West Ottawa Sleep Centre,1840 Woodward Avenue,Unit 2A,Ottawa,ON,K2C9P7,613-722-9900,MedSleep Inc. , Sleep Studies,2025-06-06,2025-08-12,Met standards.
,Adrian Tsang Medicine Professional Corporation,350 Sparks Street,Suite 216,Ottawa,ON,K1R7S8,613-237-3166,Adrian Tsang Medicine Professional Corporation , Ophthalmic Ultrasound,2024-12-01,2024-12-01,Facility has not been assessed during current ownership.
,Pickering Centre For Sleep Disorders,1099 Kingston Road,Unit 5D,Pickering,ON,L1V1B5,905-420-9626,Pickering Centre For Sleep Disorders Inc. , Sleep Studies,2022-07-23,2022-10-12,Met standards.
,Pickering Diagnostic Imaging Centre,1885 Glenanna Road,Suites 103/105/106,Pickering,ON,L1V6R6,905-831-2255,1997207 Ontario Incorporated ," Bone Mineral DXA, Fluoroscopy, Mammography, Radiography, General Ultrasound, Vascular Ultrasound, Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion, Pulmonary Function C - Escalated Testing, Nuclear Medicine - In Vivo - SPECT, Nuclear Medicine - In Vivo - General",2023-02-16,2023-05-04,Met standards.
,EXR Medical Imaging - Pickering Location,1690 Dersan Street,Suite 130,Pickering,ON,L1V2P8,905-839-1806,Ellesmere X-Ray Inc. ," Radiography, General Ultrasound, Vascular Ultrasound, Bone Mineral DXA, Mammography",2024-11-07,2025-02-10,Met standards.
,Dialysis Management Clinics Inc.,1550 Kingston Road,Unit 6,Pickering,ON,L1V1C3,905-831-1200,Dialysis Management Clinics Inc. , Dialysis,2025-01-31,2025-10-16,Met standards.
,WELL Health Diagnostic Centres,1105 Kingston Road,Unit D202,Pickering,ON,L1V1B5,905-420-3068,MyHealth Partners Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound, Nuclear Medicine - In Vivo - SPECT, Nuclear Medicine - In Vivo - General",2025-11-11,2026-02-23,Met standards.
,Village East Medical/Digestive Health Clinic,1031 Brock Road,,Pickering,ON,L1W3T7,905-683-1700,The Digestive Health Clinic Inc. , GI-Endoscopy,2025-10-20,2025-10-31,Pre-licensing inspection passed and approved for operation
,Richmond Hill Diagnostic Centre,10243 Yong Street,2nd Floor,Richmond Hill,ON,L4C3B2,905-884-0904,2845360 Ontario Inc. , Radiography,2016-09-21,2017-01-23,Met standards.
,York Region Sleep Disorders Centre,13291 Yonge Street,Suite 300 and Fourth Floor,Richmond Hill,ON,L4E4L6,905-773-7843,1882601 Ontario Inc. ," Sleep Studies, Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion, Pulmonary Function - Other Fee Codes",2022-05-12,2022-09-01,Met standards.
,X-Ray Associates,250 Harding Boulevard West,Suite B02,Richmond Hill,ON,L4C9M7,905-737-0595,X-Ray Associates Inc. , Radiography,2022-06-21,2022-08-19,Met standards.
,Dr. Ali Ahadian,9080 Yonge Street,"Unit 15, Level 2",Richmond Hill,ON,L4C0Y7,905-707-9333,Dr. Ali Ahadian Medicine Professional Corporation , Ophthalmic Ultrasound,2022-03-29,2022-03-29,Facility has not been assessed during current ownership.
,Richmond Hill Diagnostic Center,10243 Yonge Street,Second Floor,Richmond Hill,ON,L4C3B2,905-884-0904,2845360 Ontario Inc. ," General Ultrasound, Vascular Ultrasound",2022-03-22,2022-03-22,Facility has not been assessed during current ownership.
,Chalmers Gate X-Ray & Ultrasound,328 Highway 7 East,Suite 308,Richmond Hill,ON,L4B3P7,905-731-4007,EFES Management Limited ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2023-03-31,2023-05-16,Met standards.
,Bayview Hill Diagnostic Imaging,1 Spadina Road,Unit 19,Richmond Hill,ON,L4B3M2,905-237-9366,Bayview Hill Diagnostic Imaging Inc. ," Radiography, General Ultrasound",2023-05-12,2023-08-14,Met standards.
,Oak Ridges Medical Diagnostic Imaging,13291 Yonge Street,Suite 301,Richmond Hill,ON,L4E4L6,905-773-6861,Oak Ridges Medical Diagnostic Imaging Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound, Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2024-12-10,2025-02-20,Met standards.
,Bayview Diagnostic Centre,9160 Bayview Avenue,Unit B01,Richmond Hill,ON,L4B0E6,905-604-8400,9731873 Canada Corporation ," Radiography, Vascular Ultrasound",2025-10-09,2026-03-20,Met standards.
,Care Medical Imaging,9651 Yonge Street,,Richmond Hill,ON,L4C1V7,905-780-1125,11805177 Canada Inc. ," Radiography, Vascular Ultrasound, Bone Mineral DXA, General Ultrasound",2025-11-13,2026-04-10,Met standards.
,Richmond Hill Sleep and Lung Institute,330 Highway 7 East,Unit 205,Richmond Hill,ON,L4B3P8,905-764-8808,1001104531 Ontario Inc. ," Sleep Studies, Pulmonary Function A - Pure Screening",2026-02-23,2026-04-10,Met standards.
,Schroeder Ambulatory Centre,9355 Leslie Street,Unit 100,Richmond Hill,ON,L4B0J3,905-787-5700,Schroeder Ambulatory Centre , GI-Endoscopy,2025-10-28,2025-10-31,Pre-licensing inspection passed and approved for operation
,Schroeder Ambulatory Centre,9355 Leslie Street,Unit 100,Richmond Hill,ON,L4B0J3,905-787-5700,Schroeder Ambulatory Centre ," Computed Tomography, Magnetic Resonance Imaging",2026-03-02,2026-03-31,Pre-licensing inspection passed and approved for operation
,Metro Radiology (Markham),1371 Neilson Road,Suite 309,Scarborough,ON,M1B4Z8,416-781-2050,2456462 Ontario Limited ," Fluoroscopy, Radiography, General Ultrasound, Vascular Ultrasound",2021-11-09,2022-03-07,Met standards.
,Sheppard Court X-Ray & Ultrasound,3410 Sheppard Avenue East,,Scarborough,ON,M1T3K4,416-226-3444,1076254 Ontario Limited , Radiography,2012-02-24,2012-05-16,Met standards.
,Silver Star X-Ray & Ultrasound,385 Silver Star Boulevard,Suite 209,Scarborough,ON,M1V0E3,416-221-2644,EFES Management Limited ," Radiography, General Ultrasound",2014-12-10,2015-02-05,Met standards.
,Donvale Ultrasound Services Ltd.,521 Victoria Park Avenue,Suite B1,Scarborough,ON,M4C5H1,905-626-9426,Donvale Ultrasound Services Ltd. , General Ultrasound,2017-11-30,2018-06-22,Met standards.
,Donvale X-Ray,521 Victoria Park Avenue,Suite B1,Scarborough,ON,M4C5H1,416-694-2194,Donvale Ultrasound Services Ltd. , Radiography,2017-11-30,2018-06-22,Met standards.
,Scarborough Women's Imaging Centre,2025 Midland Avenue,Suite 200,Scarborough,ON,M1P3E2,416-296-1911,Toronto Vascular Ultrasound Inc. ," Bone Mineral DXA, Fluoroscopy, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2020-11-24,2021-04-21,Met standards.
,Lighthouse Medical Imaging - Finch,4168 Finch Avenue East,"Suite G18, G51, G52",Scarborough,ON,M1S5H6,416-293-5940,GTA East Medical Imaging Corp. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound",2020-09-11,2021-02-03,Met standards.
,Ontario Imaging Diagnostics (OID) - 3000 Lawrence,3000 Lawrence Avenue East,Suite C-11,Scarborough,ON,M1P2V2,416-431-5885,12147416 Canada Inc. , Mammography,2023-04-26,2023-06-13,Met standards.
,IVF Canada,2347 Kennedy Road,Suite 304,Scarborough,ON,M1T3T8,416-754-1010,L.S.G. Holding Ltd. , Obs/Gyn Ultrasound,2022-04-25,2022-10-03,Met standards.
,Ming Wui Medical Centre,2900 Markham Road,Unit 16,Scarborough,ON,M1X0C8,437-562-2080,1000595104 Ontario Inc. , General Ultrasound,2021-12-20,2021-12-20,Facility has not been assessed during current ownership.
,Agincourt Pulmonary Services,240 Alton Towers Circle,Suite 208,Scarborough,ON,M1V4P3,416-321-2613,Dr. Charles K.N. Chan ," Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion",2022-06-15,2022-08-08,Met standards.
,Ellesmere X-Ray Associates,2880 Ellesmere Road,,Scarborough,ON,M1E4B8,416-284-1697,EXR Medical Imaging Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2022-06-30,2022-09-21,Met standards.
,Lawrence and Midland Radiology Centre,2683 Lawrence Avenue East,Unit 5,Scarborough,ON,M1P2S2,416-288-1333,Toronto Vascular Ultrasound Inc. ," Bone Mineral DXA, Radiography, General Ultrasound",2024-01-23,2024-04-03,Met standards.
,Goldberg Centre,2235 Kennedy Road,2nd Floor,Scarborough,ON,M1T3G8,416-754-3937,Dr. Chaim J. Goldberg , Ophthalmic Ultrasound,2022-10-28,2023-01-11,Met standards.
,Milliken Wells X-Ray and Ultrasound,2130 Lawrence Avenue East,Suite 300,Scarborough,ON,M1R3A6,416-321-2670,Alpha Diagnostic Imaging Inc. ," Bone Mineral DXA, Radiography, General Ultrasound",2022-11-28,2023-01-26,Met standards.
,Scarborough Cardiac Diagnostic Centre,2391 Eglinton Avenue East,,Scarborough,ON,M1K2M5,416-750-9000,Northwest Nuclear Imaging Limited ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2022-11-22,2023-02-02,Met standards.
,Toronto East X-Ray and Ultrasound,1145 Morningside Avenue,Unit 12,Scarborough,ON,M1B0A7,647-350-0401,8909750 Canada Inc. , General Ultrasound,2022-11-17,2023-02-10,Met standards.
,Toronto East X-Ray and Ultrasound,1145 Morningside Avenue,Unit 12,Scarborough,ON,M1B0A7,647-350-0401,8909750 Canada Inc. , Radiography,2022-11-17,2023-02-14,Met standards.
,Sleep-Wake Disorders Clinic,2130 Lawrence Avenue East,Suite 410,Scarborough,ON,M1R3A6,416-751-4356,1609910 Ontario Inc. , Sleep Studies,2022-12-22,2023-03-22,Met standards with some recommendations made for improvement.
,North Scarborough X-Ray & Ultrasound,3420 Finch Avenue East,Suite 101,Scarborough,ON,M1W2R6,416-497-4452,B & D Diagnostic Imaging Inc. ," Radiography, General Ultrasound",2022-11-09,2023-01-25,Met standards with some recommendations made for improvement.
,Milliken Finch Diagnostic Imaging,4040 Finch Avenue East,Lower Level 4,Scarborough,ON,M1S4V5,416-292-1505,EXR Medical Imaging Inc. ," Bone Mineral DXA, Fluoroscopy, Radiography, General Ultrasound",2022-11-14,2023-02-01,Met standards.
,Ellesmere Sleep Disorders Centre,520 Ellesmere Road,301,Scarborough,ON,M1R0B1,416-439-0130,Mr. Udaya Shankar Padmakaran , Sleep Studies,2023-01-12,2023-03-28,Met standards.
,Toronto Lung Care Clinic,520 Ellesmere Road,301,Scarborough,ON,M1R0B1,416-439-0120,Mr. Udaya Shankar Padmakaran , Pulmonary Function B - Lung Volumes & Diffusion,2023-01-11,2023-03-21,Met standards.
,North Toronto Sleep Centre Inc.,4040 Finch Avenue East,Suite 108,Scarborough,ON,M1S4V5,416-293-3233,North Toronto Sleep Centre Inc. , Sleep Studies,2023-03-04,2023-05-03,Met standards.
,Ontario Imaging Diagnostics (OID) - Markham & Ellesmere,1200 Markham Road,Suite 112,Scarborough,ON,M1H3C3,416-439-4866,Markham Medical Imaging Inc. ," Bone Mineral DXA, Fluoroscopy, Radiography, General Ultrasound",2023-02-16,2023-05-10,Met standards.
,Antrim X-Ray and Ultrasound,2 Antrim Crescent,Unit 1A,Scarborough,ON,M1P2N3,647-352-6314,Parkmount X-Ray & Ultrasound Services Ltd. ," Fluoroscopy, Radiography, General Ultrasound",2023-04-14,2023-06-12,Met standards.
,Lawrence-Kingston Road X-Ray & Ultrasound,4125 Lawrence Avenue East,Suite 210,Scarborough,ON,M1E2S2,416-281-4167,Mr. Raja Hamid ," Bone Mineral DXA, Radiography, General Ultrasound",2023-02-09,2023-04-19,Met standards.
,Quantum Medical Imaging Services Inc.,"2330 Kennedy Road, Suite 402",Agincourt Professional Centre,Scarborough,ON,M1T0A2,416-756-7667,Quantum Medical Imaging Services Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2023-03-23,2023-05-04,Met standards.
,Brimley Wenlock X-Ray & Ultrasound,3333 Brimley Road,Unit D,Scarborough,ON,M1V2J7,416-292-3883,2478187 Ontario Limited ," Radiography, General Ultrasound",2023-05-09,2023-08-30,Met standards.
,Ontario Imaging Diagnostics (OID) - Compu-Sound Vascular Lab,3000 Lawrence Avenue East,Building C - Suite C02,Scarborough,ON,M1P2V1,416-431-5885,12147416 Canada Inc. ," General Ultrasound, Vascular Ultrasound, Radiography",2023-10-13,2024-02-06,Met standards.
,Trillium Sleep Laboratory,4190 Finch Avenue East,Suite 405,Scarborough,ON,M1S4T7,416-292-8292,Trillium Sleep Laboratory Inc. , Sleep Studies,2023-09-30,2024-01-22,Met standards.
,True North Imaging - Sheppard,1780 Markham Road,Units 5 & 6,Scarborough,ON,M1B2W2,416-291-4770,Clearview Diagnostic Imaging Inc. ," General Ultrasound, Bone Mineral DXA, Mammography, Radiography",2023-11-09,2023-12-07,Met standards.
,True North Imaging,2330 Kennedy Road,Suite 317,Scarborough,ON,M1T0A2,905-707-1777,Clearview Diagnostic Imaging Inc. ," Radiography, General Ultrasound, Vascular Ultrasound",2023-10-17,2023-12-06,Met standards.
,King-Mar Diagnostic Centre,3227 Eglinton Avenue East,Unit 148,Scarborough,ON,M1J3M5,416-264-4343,2341164 Ontario Inc. ," Radiography, General Ultrasound",2023-10-05,2023-12-11,Met standards.
,Uptown Eye Specialists (Scarborough),2101 Brimley Road,Unit 203,Scarborough,ON,M1S2B4,416-292-0330,East Toronto Eye Consultants Inc. , Ophthalmic Ultrasound,2023-09-08,2023-11-17,Met standards.
,"Bellesmere X-Ray, Ultrasound & Bone Density",1920 Ellesmere Road,Suite 311 and 311A,Scarborough,ON,M1H2V6,416-289-2280,Bellesmere Medical Diagnostic Centre Inc. ," Bone Mineral DXA, General Ultrasound, Radiography, Vascular Ultrasound, Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion",2023-12-05,2024-02-23,Met standards.
,"Brimley X-Ray,Ultrasound & BMD",2020 Brimley Road,Basement,Scarborough,ON,M1S4R7,416-299-7677,Brimley Medical Diagnostic Centre Inc. ," Bone Mineral DXA, Radiography, General Ultrasound",2023-12-19,2024-02-27,Met standards.
,Clarity Eye Institute,2855 Markham Road,Suite 408,Scarborough,ON,M1X0C3,416-663-3937,Clarity Eye Institute Inc. , Ophthalmic Ultrasound,2024-01-05,2024-03-04,Met standards.
,SLEEP CARE Solutions Scarborough,520 Ellesmere Road,Suite 301,Scarborough,ON,M1R0B1,416-292-3218,Mr. Udaya Shankar Padmakaran , Sleep Studies,2025-04-25,2025-08-01,Met standards.
,Diagnostic Assessment Centre,4810 Sheppard Avenue East,,Scarborough,ON,M1S4N6,416-291-7300,Ms. Maribeth Sabongui ," Mobile General Ultrasound, Mobile Vascular Ultrasound",See Comment Below,2023-05-18,Facility has not been assessed during current ownership.
,East End Breast Imaging,4002 Sheppard Avenue East,Suite 204,Scarborough,ON,M1S1S6,416-820-3143,BSA Diagnostic Imaging Inc. ," Mammography, Radiography",2025-06-24,2026-03-19,Met standards with some recommendations made for improvement.
,Scarborough Eye Associates,2941 Lawrence Avenue East,,Scarborough,ON,M1P2V6,416-438-6001,Dr. Jordan W. Cheskes , Ophthalmic Ultrasound,2024-01-19,2024-03-21,Met standards.
,West Hill Medical Imaging Inc.,4637 Kingston Road,Unit 3,Scarborough,ON,M1E2P8,416-792-8222,West Hill Medical Imaging Inc. , General Ultrasound,2024-02-08,2024-03-04,Met standards.
,Ming Wui Medical Centre,2900 Markham Road,Unit# U16,Scarborough,ON,M1X1E6,437-562-2080,1000595104 Ontario Inc. , Radiography,2023-12-15,2023-12-15,Facility has not been assessed during current ownership.
,Dr. Walter Liao,4040 Finch Avenue East,Suite 310B,Scarborough,ON,M1S4V5,416-299-1484,Dr. Walter Liao , Ophthalmic Ultrasound,2024-03-15,2024-03-15,Facility has not been assessed during current ownership.
,Alton Towers X-Ray and Ultrasound,240 Alton Towers Circle,Suite 203A,Scarborough,ON,M1V4P3,416-792-6314,2282058 Ontario Limited ," Bone Mineral DXA, Radiography, General Ultrasound, Vascular Ultrasound, Mammography",2024-11-05,2025-02-18,Met standards.
,Med Image Diagnostic Centre,31 Tapscott Road,Unit 85,Scarborough,ON,M1B4Y7,416-287-1818,1921323 Ontario Inc. ," Bone Mineral DXA, Radiography, General Ultrasound",2024-10-21,2025-02-25,Met standards.
,WELL Health Diagnostic Centres,462 Birchmount Avenue,Unit 1 B,Scarborough,ON,M1K1N8,416-690-9437,MyHealth Partners Inc. ," Bone Mineral DXA, General Ultrasound",2024-10-30,2025-02-10,Met standards.
,Lucent Medical Imaging,3410 Sheppard Avenue East,Suite 303,Scarborough,ON,M1T3K4,416-466-4152,11102362 Canada Inc. ," Radiography, General Ultrasound",2025-08-05,2025-10-23,Met standards.
,WELL Health Diagnostic Centres,462 Birchmount Road,Unit 1B,Scarborough,ON,M1K1N8,416-690-9437,MyHealth Partners Inc. , Radiography,2024-10-30,2025-02-11,Met standards.
,Toronto Lung Care Clinic - East,520 Ellesmere Road,Suite 301,Scarborough,ON,M1R0B1,416-439-0120,Metro Health Network Inc. ," Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion",2025-02-21,2025-05-29,Met standards.
,Markham-Lawrence X-Ray and Ultrasound,3585 Lawrence Avenue East,Unit 1A,Scarborough,ON,M1G1P4,416-431-1889,Scarborough Diagnostic Radiology Inc. , Bone Mineral DXA,2025-10-27,2026-02-02,Met standards.
,Warden Woods X-Ray and Ultrasound,99 Firvalley Court,,Scarborough,ON,M1L1P2,416-699-6222,2382219 Ontario Inc. ," Radiography, General Ultrasound",2025-03-11,2025-05-16,Met standards.
,Kennedy & Sheppard Diagnostic Clinic,4002 Sheppard Avenue East,Suite 304,Scarborough,ON,M1S1S6,416-299-9895,Toronto West Cardiac and Medical Imaging Centre Ltd. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2025-02-20,2025-05-28,Met standards.
,Markham-Lawrence X-Ray & Ultrasound,3585 Lawrence Avenue East,Unit 1A,Scarborough,ON,M1G1P4,416-431-1889,Scarborough Diagnostic Radiology Inc. ," Radiography, General Ultrasound",2025-02-20,2025-05-05,Met standards.
,Scarborough Radiology,2374 Eglinton Avenue East,,Scarborough,ON,M1K2P4,416-757-8497,J.B.V. Management Services Ltd. ," Bone Mineral DXA, Radiography, General Ultrasound",2025-04-10,2025-07-21,Met standards.
,Malvern Sleep Clinic,1371 Neilson Road,Suite 306,Scarborough,ON,M1B4Z8,416-282-9119,2024514 Ontario Inc. , Sleep Studies,2025-04-11,2025-06-04,Met standards.
,Kennedy and Sheppard Diagnostic Clinic,4002 Sheppard Avenue East,Suite 304,Scarborough,ON,M1S1S6,416-299-9895,BSA Diagnostics Limited ," General Ultrasound, Bone Mineral DXA, Fluoroscopy, Radiography",2025-06-24,2026-01-08,Met standards with some recommendations made for improvement.
,KMH Cardiology Centres Inc.,100 Consilium Place,Suite 201/202,Scarborough,ON,M1H3E3,905-855-1860,KMH Cardiology Centres Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2025-06-23,2025-08-01,Met standards.
,WELL Health Diagnostic Centres,462 Birchmount Avenue,Unit 1 B,Scarborough,ON,M1K1N8,416-690-9437,MyHealth Partners Inc. , Radiography,2024-10-30,2025-02-11,Met standards.
,Lighthouse Medical Imaging - Finch,4168 Finch Avenue East,"Suite G18, G51, G52",Scarborough,ON,M1S5H6,416-293-5940,GTA East Medical Imaging Corp. , Vascular Ultrasound,2025-09-11,2026-04-10,Met standards.
,Toronto Diagnostic Centre,1261 Kennedy Road,Suite 3,Scarborough,ON,M1P2L4,416-288-1114,2549416 Ontario Inc. ," Bone Mineral DXA, Radiography",2025-08-12,2025-10-28,Met standards.
,Eglinton Danforth Road Radiology,2805 Eglinton Avenue East,,Scarborough,ON,M1J2E1,416-977-2548,Bar Nik Inc. , Radiography,2025-07-17,2025-11-04,Met standards.
,Ontario Imaging Diagnostics (OID) - VPM,520 Ellesmere Road,"Lower Level, Suite B15",Scarborough,ON,M1R0B1,416-759-3462,2785068 Ontario Inc. ," Mammography, General Ultrasound",2025-08-21,2025-12-02,Met standards.
,Ontario Imaging Diagnostics (OID) - VPM,520 Ellesmere Road,"Lower Level, Suite B15",Scarborough,ON,M1R0B1,416-759-3462,2785068 Ontario Inc. , Radiography,2025-08-21,2025-12-02,Met standards.
,Ontario Imaging Diagnostics â VPM,520 Ellesmere Road,Suite B15,Scarborough,ON,M1R0B1,416-759-3462,2785068 Ontario Inc. ," General Ultrasound, Bone Mineral DXA",2025-08-21,2025-12-02,Met standards.
,Eglinton Danforth Road Radiology,2805 Eglinton Avenue East,,Scarborough,ON,M1J2E1,416-977-2548,Bar Nik Inc. , General Ultrasound,2025-07-17,2025-11-04,Met standards.
,Toronto Diagnostic Centre,1261 Kennedy Road,Suite 3,Scarborough,ON,M1P2L4,416-288-1114,2549416 Ontario Inc. , General Ultrasound,2025-08-12,2025-10-23,Met standards.
,Golden Radiology,1880 Eglinton Avenue East,,Scarborough,ON,M1L2L1,416-701-1222,Golden Radiology Inc. ," Radiography, General Ultrasound",2025-10-07,2026-01-20,Met standards.
,Respiratory & PFT Services Inc.,2130 Lawrence Avenue East,Suite 410,Scarborough,ON,M1R3A6,647-343-3579,Respiratory & PFT Services Inc. ," Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion",2025-11-26,2026-02-02,Met standards.
,Radiant Medical Imaging,385 Silver Star Boulevard,"Units 210, 211 and 212",Scarborough,ON,M1V0E3,416-321-9243,10712078 Canada Ltd. ," Fluoroscopy, Radiography, General Ultrasound",2025-11-27,2026-04-10,Met standards.
,Taigu X-Ray and Ultrasound,3447 Kennedy Road,"Suite 200, 216, 223",Scarborough,ON,M1V3S1,416-299-3443,2771409 Ontario Inc. ," Radiography, General Ultrasound",2025-11-28,2026-02-02,Met standards.
,Scarborough North Pulmonary Function Services Inc.,4040 Finch Avenue East,Suite LL5,Scarborough,ON,M1S4V5,416-293-3233,Scarborough North Pulmonary Function Services Inc. ," Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion",2025-10-23,2026-03-27,Met standards.
,WELL Health Diagnostic Centres,462 Birchmount Road,Unit 1B,Scarborough,ON,M1K1N8,416-690-9437,MyHealth Partners Inc. ," Bone Mineral DXA, General Ultrasound",2024-10-30,2024-12-27,Met standards.
,WELL Health Diagnostic Centres,462 Birchmount Road,Unit 1B,Scarborough,ON,M1K1N8,416-690-9437,MyHealth Partners Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2024-10-30,2024-12-27,Met standards.
,Ultimate Diagnostics,4190 Finch Avenue East,Suite LL04,Scarborough,ON,M1S4T7,416-298-3656,1000138491 Ontario Inc. ," Radiography, General Ultrasound",2026-02-06,2026-04-10,Met standards.
,WELL Health Diagnostic Centres,325 Milner Avenue,Suite 410,Scarborough,ON,M1B5N1,416-284-4744,MyHealth Partners Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2024-02-26,2024-02-26,Facility has not been assessed during current ownership.
,GTA ENDOSCOPY SERVICES INC.,305 Milner Avenue,Unit 920,Scarborough,ON,M1B3V4,416-321-3883,GTA ENDOSCOPY SERVICES INC. , GI-Endoscopy,2026-02-18,2026-02-22,Pre-licensing inspection passed and approved for operation
,Wentworth-Halton X-Ray and Ultrasound Inc.,325 Winterberry Drive,Heritage Green Professional Arts,Stoney Creek,ON,L8J0B6,905-549-0433,Wentworth-Halton X-Ray and Ultrasound Inc. ," Mammography, Radiography, General Ultrasound, Bone Mineral DXA, Vascular Ultrasound",2023-05-30,2023-07-19,Met standards.
,Southmount Medical Imaging Inc.,35 Upper Centennial Parkway,,Stoney Creek,ON,L8J3W2,905-387-4551,Southmount Medical Imaging Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound",2023-11-16,2024-01-25,Met standards.
,KMH Cardiology Centres Inc.,35 Upper Centennial Parkway,Suite 3G,Stoney Creek,ON,L8J3W2,905-855-1860,KMH Cardiology Centres Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2024-01-25,2024-03-07,Met standards.
,Dr. Mark Fava,835 Paramount Drive,Unit 102,Stoney Creek,ON,L8J0B4,905-561-2200,Mark Fava Medicine Professional Corporation , Ophthalmic Ultrasound,2025-12-10,2026-01-15,Met standards.
,Wentworth-Halton X-Ray and Ultrasound Inc.,15 Mountain Avenue South,,Stoney Creek,ON,L8G2V6,905-662-4953,Wentworth-Halton X-Ray and Ultrasound Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2025-01-20,2025-04-18,Met standards.
,Wentworth-Halton X-Ray and Ultrasound Inc.,325 Winterberry Drive,Unit 105,Stoney Creek,ON,L8J0B6,905-549-0433,Wentworth-Halton X-Ray and Ultrasound Inc. , Radiography,2025-01-31,2025-06-03,Met standards.
,One Vascular Imaging - Hamilton,35 Upper Centennial Parkway,Suite 3C,Stoney Creek,ON,L8J3W2,365-650-6882,One Vascular Corp. ," General Ultrasound, Vascular Ultrasound",2025-07-15,2025-09-09,Met standards.
,123 Edward Street Diagnostic Imaging Ltd.,123 Edward Street,Suite 210,Toronto,ON,M5G1E2,416-781-2050,2642170 Ontario Limited ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2010-02-01,2010-06-03,Met standards.
,Metro Radiology (Bay & Gerrard),790 Bay Street,Suite 935,Toronto,ON,M5G1N8,416-781-2050,2456462 Ontario Limited ," Radiography, General Ultrasound",2013-10-17,2013-10-17,Met standards.
,Dr. Jeff Charendoff,491 Eglinton Avenue West,2nd Floor,Toronto,ON,M5N1A8,416-782-6111,Dr. Jeff S. Charendoff ," Urologic Ultrasound, General Ultrasound",2015-07-22,2015-11-05,Met standards.
,MedSleep Inc.,549 King Street East,Unit B,Toronto,ON,M5A3J5,416-703-0505,MedSleep Inc. , Sleep Studies,2019-08-12,2019-11-08,Met standards.
,WELL Health Diagnostic Centres,11 King Street West,"Concourse Level, Unit C-100",Toronto,ON,M5H4C7,416-864-1814,MyHealth Partners Inc. ," Fluoroscopy, Radiography, General Ultrasound, Vascular Ultrasound, Nuclear Medicine - In Vivo - SPECT, Nuclear Medicine - In Vivo - General",2020-12-15,2021-05-03,Met standards.
,West End Diagnostic Imaging,2425 Bloor Street West,Unit 103,Toronto,ON,M6S4W4,416-763-4331,West End Radiological Laboratories Limited , Bone Mineral DXA,2021-11-18,2022-06-20,Met standards.
