Permit Number,Permit Application Type,Date Issued,Building Use,Work Class,Cost of Construction,Number of Units,Number of Stories,Stats Can # of Units Lost,Location,LocType,Subdivision Code,Name,Contact Type Description,Construction Type
PRSF202502307,Single/Semi-Detached Dwelling 1-2 units,2025-10-22 00:00:00,Residential,New construction,250000,1,2,,"2980 KAUFMAN WAY, REGINA, SK S4V3Z5",Address,The Towns,CRAWFORD HOMES (1991) LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202502887,Secondary Suite,2025-10-22 00:00:00,Residential,Alteration and improvements,50000,1,0,,"3307 6TH AVENUE N, REGINA, SK S4R0P7",Address,Coronation Park N.,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRBS202503033,Basement Development,2025-10-23 00:00:00,Residential,Alteration and improvements,54000,0,0,,"3601 GREEN MARSH CRESCENT, Unit:102, REGINA, SK S4V4C9",Address,The Greens on Gardiner,NORTH RIDGE DEVELOPMENT CORPORATION,Contractor,335-Row House - Condominium
PRFR202502966,Foundation Repair,2025-10-23 00:00:00,Residential,Alteration and improvements,15000,0,0,,"858 N WOROBETZ CRESCENT, REGINA, SK S4X2C3",Address,Sherwood Estates,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202502925,Garage/Carport,2025-10-23 00:00:00,Residential,Garage/Carport/Accessory Structure,20000,0,0,,"3087 TROMBLEY STREET, REGINA, SK S4V3V7 | 3091 TROMBLEY STREET, REGINA, SK S4V3V7",Address,The Towns,REDACTED,Property Owner,"330-Row House, garden home, town house, carriage home, quadrex"
PRMU202502208,Multi-Unit Dwelling 3+ Units,2025-10-23 00:00:00,Residential,New construction,1490000,8,3,,"6302 DEWALT AVENUE, REGINA, SK S4X0J2",Address,Skyview,SEYMOUR PACIFIC DEVELOPMENTS LTD.,Contractor,"310-Apartment, apartment building, duplex, triplex, quadruple"
PRRN202501789,Renovation/Alteration,2025-10-23 00:00:00,Institutional,Alteration and improvements,75000,0,0,,"1021 N MCCARTHY BOULEVARD, REGINA, SK S4X3P9",Address,Garden Ridge,ARCHIEPISCOPAL CORPORATION OF REGINA,Property Owner,"660-Religious building; church, cathedral, temple, citadel, synagogue"
PRRN202502491,Renovation/Alteration,2025-10-23 00:00:00,Industrial,Alteration and improvements,289386,0,1,,"225 E 6TH AVENUE, REGINA, SK S4N6A6",Address,Industrial Ross,CROWN SHRED & RECYCLING INC.,Property Owner,"460-Storage building; warehouse (for storage purposes only), industrial mall, grain elevator, locker rental, silo, quonset, refrigerated storage terminal"
PRRN202502717,Renovation/Alteration,2025-10-23 00:00:00,Commercial,Alteration and improvements,45587.8,0,3,,"75 MICHENER DRIVE, REGINA, SK S4V0L1",Address,University Park,KS SUNRISE VILLAGE HOLDINGS INC.,Property Owner,315-Apartment - Condominium
PRSF202502989,Single/Semi-Detached Dwelling 1-2 units,2025-10-23 00:00:00,Residential,New construction,400000,1,2,,"3232 FAVEL DRIVE, REGINA, SK S4V4B3",Address,The Towns,PACESETTER NEW HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRBS202502961,Basement Development,2025-10-24 00:00:00,Residential,Alteration and improvements,12000,0,0,,"4425 NICURITY DRIVE, Unit:15, REGINA, SK S4X0E6",Address,Lakeridge,REDACTED,Property Owner,335-Row House - Condominium
PRFR202503031,Foundation Repair,2025-10-24 00:00:00,Residential,Alteration and improvements,10000,0,0,,"3311 ROBINSON STREET, REGINA, SK S4S1V9",Address,Lakeview Centre,MASICK CONSTRUCTION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202503043,Foundation Repair,2025-10-24 00:00:00,Residential,Alteration and improvements,5650,0,0,,"2831 E MORE CRESCENT, REGINA, SK S4V0T4",Address,Wood Meadows,AAA SOLID FOUNDATION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202502889,Garage/Carport,2025-10-24 00:00:00,Residential,Garage/Carport/Accessory Structure,30000,0,0,,"1012 CAMPBELL STREET, REGINA, SK S4T5P4",Address,Mount Royal,PIE FOUNDATIONS - TRENT TOMYN,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202502396,Renovation/Alteration,2025-10-24 00:00:00,Commercial,Alteration and improvements,364000,0,2,,3900 CASTLE ROAD,Address,Whitmore Park,S & T PROPERTY MAINTENANCE - SEAN THOMSON,Contractor,335-Row House - Condominium
PRRN202502959,Renovation/Alteration,2025-10-24 00:00:00,Residential,Alteration and improvements,7000,0,0,,"17 FALCON BAY, REGINA, SK S4S4L7",Address,Whitmore Park,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202502963,Renovation/Alteration,2025-10-24 00:00:00,Residential,Alteration and improvements,50000,0,0,,"51 KNIGHT CRESCENT, REGINA, SK S4T6A8",Address,Pasqua Place,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202502858,Single/Semi-Detached Dwelling 1-2 units,2025-10-24 00:00:00,Residential,New construction,250000,1,2,,"1400 N KINGBIRD ROAD, REGINA, SK S4X0N6",Address,Kensington Greens,CRAWFORD HOMES (1991) LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202502994,Single/Semi-Detached Dwelling 1-2 units,2025-10-24 00:00:00,Residential,New construction,300000,1,2,,"3132 GREEN TURTLE ROAD, REGINA, SK S4V4C5",Address,The Towns,PACESETTER NEW HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202502802,Secondary Suite,2025-10-24 00:00:00,Residential,Alteration and improvements,50000,1,0,,"4044 DELHAYE WAY, REGINA, SK S4W0N3",Address,Harbour Landing,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202502846,Secondary Suite,2025-10-24 00:00:00,Residential,Alteration and improvements,30000,1,0,,"2937 GREEN STONE ROAD, REGINA, SK S4V3Z9",Address,The Towns,FIRST CALL CONSTRUCTION INC.,Contractor,"330-Row House, garden home, town house, carriage home, quadrex"
PRSS202502971,Secondary Suite,2025-10-24 00:00:00,Residential,Alteration and improvements,60000,1,0,,"3099 DUMONT WAY, REGINA, SK S4V3Z3",Address,The Towns,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202502988,Deck/Sunroom,2025-10-27 00:00:00,Residential,Alteration and improvements,9657,0,0,,"3104 COPELAND ROAD, REGINA, SK S4V3R9",Address,The Towns,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202502875,Renovation/Alteration,2025-10-27 00:00:00,Residential,Alteration and improvements,115355.64,0,0,,"2499 CROSS PLACE, REGINA, SK S4S4C8",Address,Hillsdale,ECKEL EXTERIORS - DON ECKEL,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202502917,Renovation/Alteration,2025-10-27 00:00:00,Commercial,Alteration and improvements,400000,0,7,,"2055 ALBERT STREET, REGINA, SK S4P3G8",Address,Old 33,CREDIT UNION CENTRAL OF SASKATCHEWAN,Property Owner,"520-Office building; consultant’s office, doctor’s office, insurance company, bank, taxi stand, office/cafeteria, office/smoke shop"
PRRN202502938,Renovation/Alteration,2025-10-27 00:00:00,Industrial,Alteration and improvements,58225,0,1,,"1000 FLEURY STREET, REGINA, SK S4N4W8",Address,Industrial Ross,2083876 ALBERTA LTD.,Property Owner,"460-Storage building; warehouse (for storage purposes only), industrial mall, grain elevator, locker rental, silo, quonset, refrigerated storage terminal"
PRRN202502975,Renovation/Alteration,2025-10-27 00:00:00,Residential,Alteration and improvements,6000,0,0,,"3411 WASCANA STREET, REGINA, SK S4S2H2",Address,Lakeview South,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202503004,Renovation/Alteration,2025-10-27 00:00:00,Residential,Alteration and improvements,14983.34,0,0,,"5521 3RD AVENUE, REGINA, SK S4T0G4",Address,Rosemont North,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202503005,Renovation/Alteration,2025-10-27 00:00:00,Residential,Alteration and improvements,14800.74,0,0,,"1535 9TH AVENUE N, REGINA, SK S4R0E7",Address,Churchill Place,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202503014,Renovation/Alteration,2025-10-27 00:00:00,Residential,Alteration and improvements,8500,0,0,,"12079 WASCANA HEIGHTS, REGINA, SK S4V3C2",Address,Wascana View,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202502681,Single/Semi-Detached Dwelling 1-2 units,2025-10-27 00:00:00,Residential,New construction,642000,2,2,,"2667 MCDONALD STREET, REGINA, SK S4N2Z7",Address,Assiniboia  Place,TRADEMARK HOMES INC.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202502824,Single/Semi-Detached Dwelling 1-2 units,2025-10-27 00:00:00,Residential,New construction,511860,1,2,,"3901 GREEN DIAMOND ROAD, REGINA, SK S4V3T1",Address,The Greens on Gardiner,101301324 SASKATCHEWAN LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202503002,Single/Semi-Detached Dwelling 1-2 units,2025-10-27 00:00:00,Residential,New construction,250000,2,2,,"5513 WATERER ROAD, REGINA, SK S4W0N2",Address,Harbour Landing,CRAWFORD HOMES (1991) LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202502727,Secondary Suite,2025-10-27 00:00:00,Residential,Alteration and improvements,70000,1,0,,"2801 ROCHDALE BOULEVARD, REGINA, SK S4X0N1",Address,Hawkstone,VARSITY HOMES LTD.,Property Owner,"210-Semi-Detached or Double House, single attached home"
PRSS202502728,Secondary Suite,2025-10-27 00:00:00,Residential,Alteration and improvements,70000,1,0,,"2809 ROCHDALE BOULEVARD, REGINA, SK S4X0N1",Address,Hawkstone,VARSITY HOMES LTD.,Property Owner,"210-Semi-Detached or Double House, single attached home"
PRAH202502482,Alternative Family Care Home,2025-10-28 00:00:00,Residential,New construction,1200000,1,1,,"121 ST JOHN STREET, REGINA, SK S4R1P7",Address,North Annex,SASKATCHEWAN HOUSING CORPORATION,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRBS202503024,Basement Development,2025-10-28 00:00:00,Residential,Alteration and improvements,21000,0,0,,"1251 ELLIOTT STREET, REGINA, SK S4N3G2",Address,Eastern Annex,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRBS202503079,Basement Development,2025-10-28 00:00:00,Residential,Alteration and improvements,15400,0,0,,"4384 DELHAYE WAY, REGINA, SK S4W0P6",Address,Harbour Landing,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202503092,Foundation Repair,2025-10-28 00:00:00,Residential,Alteration and improvements,9800,0,0,,"2059 WASCANA GREENS, REGINA, SK S4V2M3",Address,Wascana View,AAA SOLID FOUNDATION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202502964,Garage/Carport,2025-10-28 00:00:00,Residential,Garage/Carport/Accessory Structure,25000,0,0,,"259 N ROSE STREET, REGINA, SK S4R2Y3",Address,Cityview,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRMU202502166,Multi-Unit Dwelling 3+ Units,2025-10-28 00:00:00,Residential,New construction,1490000,8,3,,"6302 DEWALT AVENUE, REGINA, SK S4X0J2",Address,Skyview,SEYMOUR PACIFIC DEVELOPMENTS LTD.,Contractor,"330-Row House, garden home, town house, carriage home, quadrex"
PRRN202502987,Renovation/Alteration,2025-10-28 00:00:00,Institutional,Alteration and improvements,100000,0,0,,"2405 LEGISLATIVE DRIVE, REGINA, SK S4S0B3",Address,Wascana Park,CROWN IN RIGHT OF SASKATCHEWAN,Property Owner,"610-Government legislative and administration building other than office building; city hall, court of justice, embassy, parliament and senate building"
PRRN202503041,Renovation/Alteration,2025-10-28 00:00:00,Residential,Alteration and improvements,5000,0,0,,"1352 N MAPLE LEAF CRESCENT, REGINA, SK S4X4J4",Address,Maple Ridge,VICTOR CONSTRUCTION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202502136,Single/Semi-Detached Dwelling 1-2 units,2025-10-28 00:00:00,Residential,New construction,550000,2,2,,"1324 EMPRESS STREET, REGINA, SK S4T5E5",Address,Belvedere,ALAIR HOMES - 102126083 SASK LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202502752,Single/Semi-Detached Dwelling 1-2 units,2025-10-28 00:00:00,Residential,New construction,250000,1,1,,"3008 KAUFMAN WAY, REGINA, SK S4V3Z5",Address,The Towns,CRAWFORD HOMES (1991) LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202502762,Single/Semi-Detached Dwelling 1-2 units,2025-10-28 00:00:00,Residential,New construction,250000,1,2,,"3024 KAUFMAN WAY, REGINA, SK S4V3Z5",Address,The Towns,CRAWFORD HOMES (EBUILD),Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202502786,Single/Semi-Detached Dwelling 1-2 units,2025-10-28 00:00:00,Residential,New construction,425000,1,2,,3036 FAVEL DRIVE,Address,,HOMES BY DREAM,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202502976,Single/Semi-Detached Dwelling 1-2 units,2025-10-28 00:00:00,Residential,New construction,320100,2,2,,"1717 MUSTARD STREET, REGINA, SK S4Y0G1 | 1721 MUSTARD STREET, REGINA, SK S4Y0G1",Address,Westerra,WESTERRA DEVELOPMENT CORP.,Property Owner,"210-Semi-Detached or Double House, single attached home"
PRSS202502405,Secondary Suite,2025-10-28 00:00:00,Residential,Alteration and improvements,40000,1,0,,"4672 FERNDALE CRESCENT, REGINA, SK S4V4A4",Address,The Towns,FIRST CALL CONSTRUCTION INC.,Contractor,"210-Semi-Detached or Double House, single attached home"
PRSS202503037,Secondary Suite,2025-10-28 00:00:00,Residential,Alteration and improvements,70000,1,0,,"2813 ROCHDALE BOULEVARD, REGINA, SK S4X0N1",Address,Hawkstone,VARSITY HOMES LTD.,Property Owner,"210-Semi-Detached or Double House, single attached home"
PRDE202503010,Demolition,2025-10-29 00:00:00,Residential,Demolition,1200,0,0,,"2111 OSLER STREET, REGINA, SK S4P1W7",Address,Old 33,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202503066,Foundation Repair,2025-10-29 00:00:00,Residential,Alteration and improvements,40000,0,0,,"3039 WHITMORE AVENUE, REGINA, SK S4S1B7",Address,,RAMJACK SASKATCHEWAN,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202503096,Foundation Repair,2025-10-29 00:00:00,Residential,Alteration and improvements,9500,0,0,,"1122 BAYDA CRESCENT, REGINA, SK S4N6Y6",Address,Parkridge,STEVE PERLINGER - JS GROUP OF COMPANIES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRMH202503111,Plumbing,2025-10-29 00:00:00,Residential,Mechanical,2620,0,0,,"2533 CORONATION STREET, REGINA, SK S4S0L1",Address,River Heights,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRNR202502723,New Commercial,2025-10-29 00:00:00,Commercial,Foundation (new),300000,0,2,,"710 HONEYMAN BAY, REGINA, SK S4N4N7",Address,Industrial Ross,WESTRIDGE DEVELOPMENTS LTD.,Property Owner,"460-Storage building; warehouse (for storage purposes only), industrial mall, grain elevator, locker rental, silo, quonset, refrigerated storage terminal"
PRSF202502862,Single/Semi-Detached Dwelling 1-2 units,2025-10-29 00:00:00,Residential,New construction,416300,1,2,,"3165 FAVEL DRIVE, REGINA, SK S4V4C7",Address,The Towns,HOMES BY DREAM,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202502734,Secondary Suite,2025-10-29 00:00:00,Residential,Alteration and improvements,60000,1,0,,"134 MCCARTHY BOULEVARD, REGINA, SK S4R6A6",Address,Normanview West,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202502744,Secondary Suite,2025-10-29 00:00:00,Residential,Alteration and improvements,35000,1,0,,"4708 E BUCKINGHAM DRIVE, REGINA, SK S4V3X8",Address,The Towns,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202502759,Secondary Suite,2025-10-29 00:00:00,Residential,Alteration and improvements,48840,1,0,,"3104 COPELAND ROAD, REGINA, SK S4V3R9",Address,The Towns,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202502819,Secondary Suite,2025-10-29 00:00:00,Residential,Alteration and improvements,50000,1,0,,"2900 WELBY WAY, REGINA, SK S4V4A4",Address,The Towns,LUCKY LINKS BUILDING SERVICES LTD. - LUCKY ALUGE,Contractor,"210-Semi-Detached or Double House, single attached home"
PRSS202502993,Secondary Suite,2025-10-29 00:00:00,Residential,Alteration and improvements,65000,1,0,,"2934 ROCHDALE BOULEVARD, REGINA, SK S4X0M6",Address,Hawkstone,REDACTED,Property Owner,"210-Semi-Detached or Double House, single attached home"
PRSS202503021,Secondary Suite,2025-10-29 00:00:00,Residential,Alteration and improvements,45500,1,0,,"3173 FAVEL DRIVE, REGINA, SK S4V4C7",Address,The Towns,LUCKY LINKS BUILDING SERVICES LTD. - LUCKY ALUGE,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRAD202502896,Addition,2025-10-30 00:00:00,Residential,Addition to existing building commercial & residential,285000,0,0,,"10 LANGLEY STREET, REGINA, SK S4S3V6",Address,Hillsdale,TECHNIQUE CONSTRUCTION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202502991,Foundation Repair,2025-10-30 00:00:00,Residential,Alteration and improvements,80000,0,0,,"47 KRIVEL CRESCENT, REGINA, SK S4R5C6",Address,Normanview,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202503050,Foundation Repair,2025-10-30 00:00:00,Residential,Alteration and improvements,51000,0,0,,"18 PROCTER PLACE, REGINA, SK S4S4G1",Address,Hillsdale,GCA CONSTRUCTION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202503103,Foundation Repair,2025-10-30 00:00:00,Residential,Alteration and improvements,29850,0,0,,"2932 COLLEGE AVENUE, REGINA, SK S4T1V3",Address,Old 33,AAA SOLID FOUNDATION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202502937,Garage/Carport,2025-10-30 00:00:00,Residential,Garage/Carport/Accessory Structure,38000,0,0,,"2331 GARNET STREET, REGINA, SK S4T3A3",Address,Old 33,SPLITTING TIMBER CUSTOM CARPENTRY - JUSTIN BUNKO,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202503022,Garage/Carport,2025-10-30 00:00:00,Residential,Garage/Carport/Accessory Structure,18500,0,0,,"4716 E BUCKINGHAM DRIVE, REGINA, SK S4V3X8",Address,The Towns,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202503016,Renovation/Alteration,2025-10-30 00:00:00,Residential,Alteration and improvements,10000,0,0,,"345 N MCCARTHY BOULEVARD, REGINA, SK S4R5R3",Address,Normanview,TLJ HOMES LTD.,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202503044,Renovation/Alteration,2025-10-30 00:00:00,Residential,Alteration and improvements,2500,0,0,,"2656 ROTHWELL STREET, REGINA, SK S4N2E1",Address,Dominion Heights,HYBRID RENOVATIONS - JASON DAUM,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202502904,Secondary Suite,2025-10-30 00:00:00,Residential,Alteration and improvements,60000,1,0,,"2908 WELBY WAY, REGINA, SK S4V4A4",Address,The Towns,REDACTED,Property Owner,"210-Semi-Detached or Double House, single attached home"
PRSS202502972,Secondary Suite,2025-10-30 00:00:00,Residential,Alteration and improvements,65000,1,0,,"3013 BELLEGARDE CRESCENT, REGINA, SK S4V3W3",Address,The Towns,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRBS202503120,Basement Development,2025-10-31 00:00:00,Residential,Alteration and improvements,25000,0,0,,"3516 E CANTERBURY PLACE, REGINA, SK S4V2T4",Address,Windsor Park,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202503069,Foundation Repair,2025-10-31 00:00:00,Residential,Alteration and improvements,10000,0,0,,"45 STEWART AVENUE, REGINA, SK S4R4M5",Address,Regent Park,PREMIER CONSTRUCTION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202503109,Foundation Repair,2025-10-31 00:00:00,Residential,Alteration and improvements,2725,0,0,,"53 SPRUCEVIEW ROAD, REGINA, SK S4R0E1",Address,Uplands,AAA SOLID FOUNDATION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202503118,Foundation Repair,2025-10-31 00:00:00,Residential,Alteration and improvements,5000,0,0,,"3431 E KEEHR PLACE, REGINA, SK S4N7A6",Address,Parkridge,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202502536,Garage/Carport,2025-10-31 00:00:00,Residential,Garage/Carport/Accessory Structure,27500,0,0,,"3801 NORMANDY AVENUE, REGINA, SK S4S0Y2",Address,Normandy Heights,HANDYMAN HALL MAINTENANCE & REPAIR,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202502753,Garage/Carport,2025-10-31 00:00:00,Residential,Garage/Carport/Accessory Structure,12000,0,0,,"2716 24TH AVENUE, REGINA, SK S4S1J5",Address,Lakeview Place,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202503057,Single/Semi-Detached Dwelling 1-2 units,2025-10-31 00:00:00,Residential,New construction,182710,1,2,,"3028 DUMONT WAY, REGINA, SK S4V4E4",Address,The Towns,ROHIT COMMUNITIES,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRBS202502256,Basement Development,2025-11-03 00:00:00,Residential,Alteration and improvements,21000,0,0,,"2926 BELLEGARDE CRESCENT, REGINA, SK S4V3W5",Address,The Towns,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRBS202502788,Basement Development,2025-11-03 00:00:00,Residential,Alteration and improvements,50000,0,0,,"2300 MCARA STREET, REGINA, SK S4N2W3",Address,Broders Annex,PLETCO HOME RENOVATIONS - KEVIN PLETTENBERG,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDE202502131,Demolition,2025-11-03 00:00:00,Commercial,Demolition,100000,0,0,,"2526 11TH AVENUE, REGINA, SK S4P0K5",Address,Old 33,DOWNTOWN INVESTMENT  CORPORATION,Property Owner,"522-Office complex; office/store, office/apartment"
PRDK202502590,Deck/Sunroom,2025-11-03 00:00:00,Residential,Alteration and improvements,55000,0,0,,"6927 MAPLE BROOK CRESCENT, REGINA, SK S4X4J2",Address,Maple Ridge,TIMBERWORKS CONSTRUCTION/ GARRETT SELINGER,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202503086,Foundation Repair,2025-11-03 00:00:00,Residential,Alteration and improvements,5500,0,0,,"843 N HAYWORTH CRESCENT, REGINA, SK S4X1X8",Address,Sherwood Estates,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRMH202502497,Plumbing,2025-11-03 00:00:00,Residential,Mechanical,3540,0,0,,"2427 E GLAMIS PLACE, REGINA, SK S4V1A5",Address,University Park East,LOGIC RENOVATIONS & CONTRACTING,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202502939,Renovation/Alteration,2025-11-03 00:00:00,Commercial,Alteration and improvements,102000,0,1,,"5050 4TH AVENUE, REGINA, SK S4T0J6",Address,Rosemont North,J.M. INVESTMENTS LTD.,Property Owner,"512-Retail complex; plaza, mall, shopping centre, store/office building"
PRRN202503070,Renovation/Alteration,2025-11-03 00:00:00,Residential,Alteration and improvements,50,0,0,,"17 CLELAND STREET, REGINA, SK S4R4G1",Address,Coronation Park N.,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202503082,Renovation/Alteration,2025-11-03 00:00:00,Residential,Alteration and improvements,10000,0,0,,"2261 KING STREET, REGINA, SK S4T4H2",Address,Old 33,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202502891,Single/Semi-Detached Dwelling 1-2 units,2025-11-03 00:00:00,Residential,New construction,320650,2,2,,"1749 MUSTARD STREET, REGINA, SK S4Y0G1 | 1753 MUSTARD STREET, REGINA, SK S4Y0G1",Address,Westerra,WESTERRA DEVELOPMENT CORP.,Property Owner,"210-Semi-Detached or Double House, single attached home"
PRSF202502980,Single/Semi-Detached Dwelling 1-2 units,2025-11-03 00:00:00,Residential,New construction,250000,1,2,,"2971 KAUFMAN WAY, REGINA, SK S4V3Z5",Address,The Towns,CRAWFORD HOMES (1991) LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202503030,Secondary Suite,2025-11-03 00:00:00,Residential,Alteration and improvements,60000,1,0,,"2916 WELBY WAY, REGINA, SK S4V4A4",Address,The Towns,GREEN STONE RENOVATIONS LTD,Contractor,"210-Semi-Detached or Double House, single attached home"
PRAD202502826,Addition,2025-11-04 00:00:00,Residential,Addition to existing building commercial & residential,14000,0,0,,"1461 MINTO STREET, REGINA, SK S4T5J5",Address,Rosemont,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDE202501816,Demolition,2025-11-04 00:00:00,Residential,Demolition,0,0,0,,"1027 RAE STREET, REGINA, SK S4T2B7",Address,Old 33,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202503012,Foundation Repair,2025-11-04 00:00:00,Residential,Alteration and improvements,15000,0,0,,"79 SIBBALD CRESCENT, REGINA, SK S4T7L6",Address,Mount Royal,COLOSSAL CONSTRUCTION INC. - DARCY ROGALSKI,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
